22:39:53.302 [restartedMain] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
22:39:54.184 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8002"]
22:39:54.223 [restartedMain] INFO  org.apache.tomcat.util.net.NioSelectorPool - Using a shared selector for servlet write/read
22:39:54.286 [restartedMain] INFO  com.neusoft.HealthApplication - Started HealthApplication in 15.897 seconds (JVM running for 24.037)
23:07:53.263 [http-nio-8002-exec-10] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
23:09:28.409 [http-nio-8002-exec-6] WARN  org.springframework.web.servlet.mvc.support.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.HttpRequestMethodNotSupportedException: Request method 'GET' not supported]
23:14:10.097 [restartedMain] INFO  com.neusoft.HealthApplication - Starting HealthApplication on Umbrella with PID 18244 (F:\NEUSOFT\health\target\classes started by xyc in F:\NEUSOFT\health)
23:14:10.103 [restartedMain] INFO  com.neusoft.HealthApplication - The following profiles are active: dev
23:14:19.089 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
23:14:19.125 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23:14:19.129 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/9.0.13
